Title,Web,Category,Fetched_Title,Abstract,Authors,Journal,Keywords
Option Pricing using Quantum Computers,https://arxiv.org/abs/1905.02666,Quantum Machine Learning (QML),Option Pricing using Quantum Computers,"We present a methodology to price options and portfolios of options on a
gate-based quantum computer using amplitude estimation, an algorithm which
provides a quadratic speedup compared to classical Monte Carlo methods. The
options that we cover include vanilla options, multi-asset options and
path-dependent options such as barrier options. We put an emphasis on the
implementation of the quantum circuits required to build the input states and
operators needed by amplitude estimation to price the different option types.
Additionally, we show simulation results to highlight how the circuits that we
implement price the different option contracts. Finally, we examine the
performance of option pricing circuits on quantum hardware using the IBM Q
Tokyo quantum device. We employ a simple, yet effective, error mitigation
scheme that allows us to significantly reduce the errors arising from noisy
two-qubit gates.","Nikitas Stamatopoulos, Daniel J. Egger, Yue Sun, Christa Zoufal, Raban Iten, Ning Shen, Stefan Woerner",arXiv,quant-ph
Paving the Way towards 800 Gbps Quantum-Secured Optical Channel Deployment,https://arxiv.org/abs/2202.07764,Quantum Communication & Cryptography,"Paving the Way towards 800 Gbps Quantum-Secured Optical Channel
  Deployment in Mission-Critical Environments","This article describes experimental research studies conducted towards
understanding the implementation aspects of high-capacity quantum-secured
optical channels in mission-critical metro-scale operational environments using
Quantum Key Distribution (QKD) technology. To the best of our knowledge, this
is the first time that an 800 Gbps quantum-secured optical channel -- along
with several other Dense Wavelength Division Multiplexed (DWDM) channels on the
C-band and multiplexed with the QKD channel on the O-band -- was established at
distances up to 100 km, with secret key-rates relevant for practical industry
use cases. In addition, during the course of these trials, transporting a
blockchain application over this established channel was utilized as a
demonstration of securing a financial transaction in transit over a
quantum-secured optical channel. The findings of this research pave the way
towards the deployment of QKD-secured optical channels in high-capacity,
metro-scale, mission-critical operational environments, such as Inter-Data
Center Interconnects.","Marco Pistoia, Omar Amer, Monik R. Behera, Joseph A. Dolphin, James F. Dynes, Benny John, Paul A. Haigh, Yasushi Kawakura, David H. Kramer, Jeffrey Lyon, Navid Moazzami, Tulasi D. Movva, Antigoni Polychroniadou, Suresh Shetty, Greg Sysak, Farzam Toudeh-Fallah, Sudhir Upadhyay, Robert I. Woodward, Andrew J. Shields",arXiv,"quant-ph, cs.CR, cs.NI, physics.optics"
"Phase sensitivity at the Heisenberg limit in an SU(1,1) interferometer via parity detection - Dong Li, Bryan T. Gard, Yang Gao3, Chun-Hua Yuan1, Weiping Zhang1, Hwang Lee, Jonathan P. Dowling",https://arxiv.org/abs/1603.09019,,"Phase sensitivity at the Heisenberg limit in an SU(1,1) interferometer
  via parity detection","We theoretically investigate the phase sensitivity with parity detection on
an SU(1,1) interferometer with a coherent state combined with a squeezed vacuum
state. This interferometer is formed with two parametric amplifiers for beam
splitting and recombination instead of beam splitters. We show that the
sensitivity of estimation phase approaches Heisenberg limit and give the
corresponding optimal condition. Moreover, we derive the quantum Cram\'er-Rao
bound of the SU(1,1) interferometer.","Dong Li, Bryan T. Gard, Yang Gao, Chun-Hua Yuan, Weiping Zhang, Hwang Lee, Jonathan P. Dowling",arXiv,quant-ph
"Power of sequential protocols in hidden quantum channel discrimination - Sho Sugiura, et.al",https://arxiv.org/pdf/2304.02053.pdf,,Power of sequential protocols in hidden quantum channel discrimination,"In many natural and engineered systems, unknown quantum channels act on a
subsystem that cannot be directly controlled and measured, but is instead
learned through a controllable subsystem that weakly interacts with it. We
study quantum channel discrimination (QCD) under these restrictions, which we
call hidden system QCD (HQCD). We find that sequential protocols achieve
perfect discrimination and saturate the Heisenberg limit. In contrast, depth-1
parallel and multi-shot protocols cannot solve HQCD. This suggests that
sequential protocols are superior in experimentally realistic situations.","Sho Sugiura, Arkopal Dutt, William J. Munro, Sina Zeytinoğlu, Isaac L. Chuang",arXiv,quant-ph
Practical Benchmarking of Randomized Measurement Methods for Quantum Chemistry Hamiltonians,https://arxiv.org/pdf/2312.07497.pdf,Measurement & State Estimation,"Practical Benchmarking of Randomized Measurement Methods for Quantum
  Chemistry Hamiltonians","Many hybrid quantum-classical algorithms for the application of ground state
energy estimation in quantum chemistry involve estimating the expectation value
of a molecular Hamiltonian with respect to a quantum state through measurements
on a quantum device. To guide the selection of measurement methods designed for
this observable estimation problem, we propose a benchmark called CSHOREBench
(Common States and Hamiltonians for ObseRvable Estimation Benchmark) that
assesses the performance of these methods against a set of common molecular
Hamiltonians and common states encountered during the runtime of hybrid
quantum-classical algorithms. In CSHOREBench, we account for resource
utilization of a quantum computer through measurements of a prepared state, and
a classical computer through computational runtime spent in proposing
measurements and classical post-processing of acquired measurement outcomes. We
apply CSHOREBench considering a variety of measurement methods on Hamiltonians
of size up to 16 qubits. Our discussion is aided by using the framework of
decision diagrams which provides an efficient data structure for various
randomized methods and illustrate how to derandomize distributions on decision
diagrams. In numerical simulations, we find that the methods of decision
diagrams and derandomization are the most preferable. In experiments on IBM
quantum devices against small molecules, we observe that decision diagrams
reduces the number of measurements made by classical shadows by more than 80%,
that made by locally biased classical shadows by around 57%, and consistently
require fewer quantum measurements along with lower classical computational
runtime than derandomization. Furthermore, CSHOREBench is empirically efficient
to run when considering states of random quantum ansatz with fixed depth.","Arkopal Dutt, William Kirby, Rudy Raymond, Charles Hadfield, Sarah Sheldon, Isaac L. Chuang, Antonio Mezzacapo",arXiv,quant-ph
Practical randomness and privacy amplification,https://arxiv.org/abs/2009.06551,Quantum Protocol Design,"Practical randomness amplification and privatisation with
  implementations on quantum computers","We present an end-to-end and practical randomness amplification and
privatisation protocol based on Bell tests. This allows the building of
device-independent random number generators which output (near-)perfectly
unbiased and private numbers, even if using an uncharacterised quantum device
potentially built by an adversary. Our generation rates are linear in the
repetition rate of the quantum device and the classical randomness
post-processing has quasi-linear complexity - making it efficient on a standard
personal laptop. The statistical analysis is also tailored for real-world
quantum devices.
  Our protocol is then showcased on several different quantum computers.
Although not purposely built for the task, we show that quantum computers can
run faithful Bell tests by adding minimal assumptions. In this
semi-device-independent manner, our protocol generates (near-)perfectly
unbiased and private random numbers on today's quantum computers.","Cameron Foreman, Sherilyn Wright, Alec Edgington, Mario Berta, Florian J. Curchod",arXiv,quant-ph
Predicting Many Properties of a Quantum System from Very Few Measurements,https://arxiv.org/abs/2002.08953,Experimental Simulating Tools,"Predicting Many Properties of a Quantum System from Very Few
  Measurements","Predicting properties of complex, large-scale quantum systems is essential
for developing quantum technologies. We present an efficient method for
constructing an approximate classical description of a quantum state using very
few measurements of the state. This description, called a classical shadow, can
be used to predict many different properties: order $\log M$ measurements
suffice to accurately predict $M$ different functions of the state with high
success probability. The number of measurements is independent of the system
size, and saturates information-theoretic lower bounds. Moreover, target
properties to predict can be selected after the measurements are completed. We
support our theoretical findings with extensive numerical experiments. We apply
classical shadows to predict quantum fidelities, entanglement entropies,
two-point correlation functions, expectation values of local observables, and
the energy variance of many-body local Hamiltonians. The numerical results
highlight the advantages of classical shadows relative to previously known
methods.","Hsin-Yuan Huang, Richard Kueng, John Preskill",arXiv,"quant-ph, cs.IT, cs.LG, math.IT"
"Programmable Heisenberg interactions between Floquet qubits - Long B. Nguyen, Yosep Kim, Akel Hashim, Noah Goss, Brian Marinelli, ...",https://arxiv.org/abs/2211.10383,,Programmable Heisenberg interactions between Floquet qubits,"The fundamental trade-off between robustness and tunability is a central
challenge in the pursuit of quantum simulation and fault-tolerant quantum
computation. In particular, many emerging quantum architectures are designed to
achieve high coherence at the expense of having fixed spectra and consequently
limited types of controllable interactions. Here, by adiabatically transforming
fixed-frequency superconducting circuits into modifiable Floquet qubits, we
demonstrate an XXZ Heisenberg interaction with fully adjustable anisotropy.
This interaction model is on one hand the basis for many-body quantum
simulation of spin systems, and on the other hand the primitive for an
expressive quantum gate set. To illustrate the robustness and versatility of
our Floquet protocol, we tailor the Heisenberg Hamiltonian and implement
two-qubit iSWAP, CZ, and SWAP gates with estimated fidelities of 99.32(3)%,
99.72(2)%, and 98.93(5)%, respectively. In addition, we implement a Heisenberg
interaction between higher energy levels and employ it to construct a
three-qubit CCZ gate with a fidelity of 96.18(5)%. Importantly, the protocol is
applicable to various fixed-frequency high-coherence platforms, thereby
unlocking a suite of essential interactions for high-performance quantum
information processing. From a broader perspective, our work provides
compelling avenues for future exploration of quantum electrodynamics and
optimal control using the Floquet framework.","Long B. Nguyen, Yosep Kim, Akel Hashim, Noah Goss, Brian Marinelli, Bibek Bhandari, Debmalya Das, Ravi K. Naik, John Mark Kreikebaum, Andrew N. Jordan, David I. Santiago, Irfan Siddiqi",arXiv,"quant-ph, cond-mat.supr-con, physics.app-ph"
Proposal for room-temperature quantum repeaters with nitrogen-vacancy centers and optomechanics,https://arxiv.org/abs/2012.06687,Quantum Repeater Architectures,"Proposal for room-temperature quantum repeaters with nitrogen-vacancy
  centers and optomechanics","We propose a quantum repeater architecture that can operate under ambient
conditions. Our proposal builds on recent progress towards non-cryogenic
spin-photon interfaces based on nitrogen-vacancy centers, which have excellent
spin coherence times even at room temperature, and optomechanics, which allows
to avoid phonon-related decoherence and also allows the emitted photons to be
in the telecom band. We apply the photon number decomposition method to
quantify the fidelity and the efficiency of entanglement established between
two remote electron spins. We describe how the entanglement can be stored in
nuclear spins and extended to long distances via quasi-deterministic
entanglement swapping operations involving the electron and nuclear spins. We
furthermore propose schemes to achieve high-fidelity readout of the spin states
at room temperature using the spin-optomechanics interface. Our work shows that
long-distance quantum networks made of solid-state components that operate at
room temperature are within reach of current technological capabilities.","Jia-Wei Ji, Yu-Feng Wu, Stephen C. Wein, Faezeh Kimiaee Asadi, Roohollah Ghobadi, Christoph Simon",arXiv,quant-ph
Protocols for creating and distilling multipartite GHZ states with Bell pairs,https://arxiv.org/abs/2010.12259,Quantum Protocol Design,"Protocols for creating and distilling multipartite GHZ states with Bell
  pairs","The distribution of high-quality Greenberger-Horne-Zeilinger (GHZ) states is
at the heart of many quantum communication tasks, ranging from extending the
baseline of telescopes to secret sharing. They also play an important role in
error-correction architectures for distributed quantum computation, where Bell
pairs can be leveraged to create an entangled network of quantum computers. We
investigate the creation and distillation of GHZ states out of non-perfect Bell
pairs over quantum networks. In particular, we introduce a heuristic dynamic
programming algorithm to optimize over a large class of protocols that create
and purify GHZ states. All protocols considered use a common framework based on
measurements of non-local stabilizer operators of the target state (i.e., the
GHZ state), where each non-local measurement consumes another (non-perfect)
entangled state as a resource. The new protocols outperform previous proposals
for scenarios without decoherence and local gate noise. Furthermore, the
algorithms can be applied for finding protocols for any number of parties and
any number of entangled pairs involved.","Sébastian de Bone, Runsheng Ouyang, Kenneth Goodenough, David Elkouss",arXiv,quant-ph
Quantum Computational Supremacy,https://arxiv.org/pdf/1809.07442.pdf,Quantum Supremacy & Computational Advantage,Quantum Computational Supremacy,"The field of quantum algorithms aims to find ways to speed up the solution of
computational problems by using a quantum computer. A key milestone in this
field will be when a universal quantum computer performs a computational task
that is beyond the capability of any classical computer, an event known as
quantum supremacy. This would be easier to achieve experimentally than
full-scale quantum computing, but involves new theoretical challenges. Here we
present the leading proposals to achieve quantum supremacy, and discuss how we
can reliably compare the power of a classical computer to the power of a
quantum computer.","Aram W Harrow, Ashley Montanaro",arXiv,quant-ph
"Quantum Internet Protocol Stack a Comprehensive Survey - Jessica Illiano, Marcello Caleffi, Antonio Manzalini, Angela Sara Cacciapuoti",https://arxiv.org/abs/2202.10894,,Quantum Internet Protocol Stack: a Comprehensive Survey,"Classical Internet evolved exceptionally during the last five decades, from a
network comprising a few static nodes in the early days to a leviathan
interconnecting billions of devices. This has been possible by the separation
of concern principle, for which the network functionalities are organized as a
stack of layers, each providing some communication functionalities through
specific network protocols. In this survey, we aim at highlighting the
impossibility of adapting the classical Internet protocol stack to the Quantum
Internet, due to the marvels of quantum mechanics. Indeed, the design of the
Quantum Internet requires a major paradigm shift of the whole protocol stack
for harnessing the peculiarities of quantum entanglement and quantum
information. In this context, we first overview the relevant literature about
Quantum Internet protocol stack. Then, stemming from this, we sheds the light
on the open problems and required efforts toward the design of an effective and
complete Quantum Internet protocol stack. To the best of authors' knowledge, a
survey of this type is the first of its own. What emerges from this analysis is
that the Quantum Internet, though still in its infancy, is a disruptive
technology whose design requires an inter-disciplinary effort at the border
between quantum physics, computer and telecommunications engineering.","Jessica Illiano, Marcello Caleffi, Antonio Manzalini, Angela Sara Cacciapuoti",arXiv,"cs.NI, quant-ph"
"Quantum Long Short-Term Memory - Samuel Yen-Chi Chen, Shinjae Yoo, Yao-Lung L. Fang",https://arxiv.org/abs/2009.01783,,Quantum Long Short-Term Memory,"Long short-term memory (LSTM) is a kind of recurrent neural networks (RNN)
for sequence and temporal dependency data modeling and its effectiveness has
been extensively established. In this work, we propose a hybrid
quantum-classical model of LSTM, which we dub QLSTM. We demonstrate that the
proposed model successfully learns several kinds of temporal data. In
particular, we show that for certain testing cases, this quantum version of
LSTM converges faster, or equivalently, reaches a better accuracy, than its
classical counterpart. Due to the variational nature of our approach, the
requirements on qubit counts and circuit depth are eased, and our work thus
paves the way toward implementing machine learning algorithms for sequence
modeling on noisy intermediate-scale quantum (NISQ) devices.","Samuel Yen-Chi Chen, Shinjae Yoo, Yao-Lung L. Fang",arXiv,"quant-ph, cs.LG"
Quantum Support Vector Machine for Big Data Classification,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.113.130503,,Quantum Support Vector Machine for Big Data Classification,Unknown,"Patrick Rebentrost, Masoud Mohseni, Seth Lloyd",Physical Review Letters,
Quantum Switch for the Quantum Internet: Noiseless Communications through Noisy Channels,https://arxiv.org/abs/1907.07432,The Quantum Internet,"Quantum Switch for the Quantum Internet: Noiseless Communications
  through Noisy Channels","Counter-intuitively, quantum mechanics enables quantum particles to propagate
simultaneously among multiple space-time trajectories. Hence, a quantum
information carrier can travel through different communication channels in a
quantum superposition of different orders, so that the relative time-order of
the communication channels becomes indefinite. This is realized by utilizing a
quantum device known as quantum switch. In this paper, we investigate, from a
communication-engineering perspective, the use of the quantum switch within the
quantum teleportation process, one of the key functionalities of the Quantum
Internet. Specifically, a theoretical analysis is conducted to quantify the
performance gain that can be achieved by employing a quantum switch for the
entanglement distribution process within the quantum teleportation with respect
to the case of absence of quantum switch. This analysis reveals that, by
utilizing the quantum switch, the quantum teleportation is heralded as a
noiseless communication process with a probability that, remarkably and
counter-intuitively, increases with the noise levels affecting the
communication channels considered in the indefinite-order time combination.","Marcello Caleffi, Angela Sara Cacciapuoti",arXiv,"quant-ph, cs.NI"
Quantum advantage in learning from experiments,https://arxiv.org/abs/2112.00778,Quantum Machine Learning (QML),Quantum advantage in learning from experiments,"Quantum technology has the potential to revolutionize how we acquire and
process experimental data to learn about the physical world. An experimental
setup that transduces data from a physical system to a stable quantum memory,
and processes that data using a quantum computer, could have significant
advantages over conventional experiments in which the physical system is
measured and the outcomes are processed using a classical computer. We prove
that, in various tasks, quantum machines can learn from exponentially fewer
experiments than those required in conventional experiments. The exponential
advantage holds in predicting properties of physical systems, performing
quantum principal component analysis on noisy states, and learning approximate
models of physical dynamics. In some tasks, the quantum processing needed to
achieve the exponential advantage can be modest; for example, one can
simultaneously learn about many noncommuting observables by processing only two
copies of the system. Conducting experiments with up to 40 superconducting
qubits and 1300 quantum gates, we demonstrate that a substantial quantum
advantage can be realized using today's relatively noisy quantum processors.
Our results highlight how quantum technology can enable powerful new strategies
to learn about nature.","Hsin-Yuan Huang, Michael Broughton, Jordan Cotler, Sitan Chen, Jerry Li, Masoud Mohseni, Hartmut Neven, Ryan Babbush, Richard Kueng, John Preskill, Jarrod R. McClean",arXiv,"quant-ph, cs.IT, cs.LG, math.IT"
Quantum algorithm for linear systems of equations,https://arxiv.org/pdf/0811.3171.pdf,Quantum Algorithms,Quantum algorithm for solving linear systems of equations,"Solving linear systems of equations is a common problem that arises both on
its own and as a subroutine in more complex problems: given a matrix A and a
vector b, find a vector x such that Ax=b. We consider the case where one
doesn't need to know the solution x itself, but rather an approximation of the
expectation value of some operator associated with x, e.g., x'Mx for some
matrix M. In this case, when A is sparse, N by N and has condition number
kappa, classical algorithms can find x and estimate x'Mx in O(N sqrt(kappa))
time. Here, we exhibit a quantum algorithm for this task that runs in poly(log
N, kappa) time, an exponential improvement over the best classical algorithm.","Aram W. Harrow, Avinatan Hassidim, Seth Lloyd",arXiv,quant-ph
"Quantum computational advantage using photons - Han-Sen Zhong, Hui Wang, Yu-Hao Deng, Ming-Cheng Chen, Li-Chao Peng, Yi-Han Luo, Jian Qin, ...",https://www.science.org/doi/10.1126/science.abe8770,,Quantum computational advantage using photons,"A light approach to quantum advantage
          
            Quantum computational advantage or supremacy is a long-anticipated milestone toward practical quantum computers. Recent work claimed to have reached this point, but subsequent work managed to speed up the classical simulation and pointed toward a sample size–dependent loophole. Quantum computational advantage, rather than being a one-shot experimental proof, will be the result of a long-term competition between quantum devices and classical simulation. Zhong
            et al.
            sent 50 indistinguishable single-mode squeezed states into a 100-mode ultralow-loss interferometer and sampled the output using 100 high-efficiency single-photon detectors. By obtaining up to 76-photon coincidence, yielding a state space dimension of about 10
            30
            , they measured a sampling rate that is about 10
            14
            -fold faster than using state-of-the-art classical simulation strategies and supercomputers.
          
          
            Science
            , this issue p.
            1460
          ","Han-Sen Zhong, Hui Wang, Yu-Hao Deng, Ming-Cheng Chen, Li-Chao Peng, Yi-Han Luo, Jian Qin, Dian Wu, Xing Ding, Yi Hu, Peng Hu, Xiao-Yan Yang, Wei-Jun Zhang, Hao Li, Yuxuan Li, Xiao Jiang, Lin Gan, Guangwen Yang, Lixing You, Zhen Wang, Li Li, Nai-Le Liu, Chao-Yang Lu, Jian-Wei Pan",Science,
"Quantum computing with photons - introduction to the circuit model, the one way quantum computer, and the fundamental principles of photonic experiments",https://iopscience.iop.org/article/10.1088/0953-4075/48/8/083001,,"Quantum computing with photons: introduction to the circuit model, the one-way quantum computer, and the fundamental principles of photonic experiments",Unknown,Stefanie Barz,"Journal of Physics B: Atomic, Molecular and Optical Physics",
"Quantum mechanics with real numbers: entanglement, superselection rules and gauges",https://arxiv.org/pdf/2308.05473.pdf,Commercial and Philosophical Views,"Quantum mechanics with real numbers: entanglement, superselection rules
  and gauges","We show how imaginary numbers in quantum physics can be eliminated by
enlarging the Hilbert Space followed by an imposition of - what effectively
amounts to - a superselection rule. We illustrate this procedure with a qubit
and apply it to the Mach-Zehnder interferometer. The procedure is somewhat
reminiscent of the constrained quantization of the electromagnetic field,
where, in order to manifestly comply with relativity, one enlargers the Hilbert
Space by quantizing the longitudinal and scalar modes, only to subsequently
introduce a constraint to make sure that they are actually not directly
observable.",Vlatko Vedral,arXiv,quant-ph
Quantum Particles and Classical Particles - Nathan Rosen,https://link.springer.com/article/10.1007/BF00735376,,Quantum particles and classical particles,Unknown,Nathan Rosen,Foundations of Physics,
"Quantum readout error mitigation via deep learning - Jihye Kim, Byungdu Oh, Yonuk Chong, Euyheon Hwang, and Daniel K Park",https://iopscience.iop.org/article/10.1088/1367-2630/ac7b3d,,Quantum readout error mitigation via deep learning,"Abstract
               Quantum computing devices are inevitably subject to errors. To leverage quantum technologies for computational benefits in practical applications, quantum algorithms and protocols must be implemented reliably under noise and imperfections. Since noise and imperfections limit the size of quantum circuits that can be realized on a quantum device, developing quantum error mitigation techniques that do not require extra qubits and gates is of critical importance. In this work, we present a deep learning-based protocol for reducing readout errors on quantum hardware. Our technique is based on training an artificial neural network (NN) with the measurement results obtained from experiments with simple quantum circuits consisting of singe-qubit gates only. With the NN and deep learning, non-linear noise can be corrected, which is not possible with the existing linear inversion methods. The advantage of our method against the existing methods is demonstrated through quantum readout error mitigation experiments performed on IBM five-qubit quantum devices.","Jihye Kim, Byungdu Oh, Yonuk Chong, Euyheon Hwang, Daniel K Park",New Journal of Physics,
Quantum states with Einstein-Podolsky-Rosen correlations admitting a hidden-variable model,https://journals.aps.org/pra/pdf/10.1103/PhysRevA.40.4277,Quantum Information Theory,Quantum states with Einstein-Podolsky-Rosen correlations admitting a hidden-variable model,Unknown,Reinhard F. Werner,Physical Review A,
Quantum walks a comprehensive review - Salvador E. Venegas-Andraca,https://arxiv.org/abs/1201.4780,,Quantum walks: a comprehensive review,"Quantum walks, the quantum mechanical counterpart of classical random walks,
is an advanced tool for building quantum algorithms that has been recently
shown to constitute a universal model of quantum computation. Quantum walks is
now a solid field of research of quantum computation full of exciting open
problems for physicists, computer scientists, mathematicians and engineers.
  In this paper we review theoretical advances on the foundations of both
discrete- and continuous-time quantum walks, together with the role that
randomness plays in quantum walks, the connections between the mathematical
models of coined discrete quantum walks and continuous quantum walks, the
quantumness of quantum walks, a summary of papers published on discrete quantum
walks and entanglement as well as a succinct review of experimental proposals
and realizations of discrete-time quantum walks. Furthermore, we have reviewed
several algorithms based on both discrete- and continuous-time quantum walks as
well as a most important result: the computational universality of both
continuous- and discrete- time quantum walks.",Salvador E. Venegas-Andraca,arXiv,"quant-ph, math-ph, math.MP"
Quantum-Enhanced Data Classification with a Variational Entangled Sensor Network,https://arxiv.org/abs/2006.11962,Quantum Enhanced Sensing & Detection,"Quantum-enhanced data classification with a variational entangled sensor
  network","Variational quantum circuits (VQCs) built upon noisy intermediate-scale
quantum (NISQ) hardware, in conjunction with classical processing, constitute a
promising architecture for quantum simulations, classical optimization, and
machine learning. However, the required VQC depth to demonstrate a quantum
advantage over classical schemes is beyond the reach of available NISQ devices.
Supervised learning assisted by an entangled sensor network (SLAEN) is a
distinct paradigm that harnesses VQCs trained by classical machine-learning
algorithms to tailor multipartite entanglement shared by sensors for solving
practically useful data-processing problems. Here, we report the first
experimental demonstration of SLAEN and show an entanglement-enabled reduction
in the error probability for classification of multidimensional radio-frequency
signals. Our work paves a new route for quantum-enhanced data processing and
its applications in the NISQ era.","Yi Xia, Wei Li, Quntao Zhuang, Zheshen Zhang",arXiv,"quant-ph, physics.optics"
"Rate limits in quantum networks with lossy repeaters - Riccardo Laurenza, Nathan Walk, Jens Eisert and Stefao Pirandola",https://arxiv.org/pdf/2110.10168.pdf,,Rate limits in quantum networks with lossy repeaters,"The derivation of ultimate limits to communication over certain quantum
repeater networks have provided extremely valuable benchmarks for assessing
near-term quantum communication protocols. However, these bounds are usually
derived in the limit of ideal devices and leave questions about the performance
of practical implementations unanswered. To address this challenge, we quantify
how the presence of loss in repeater stations affect the maximum attainable
rates for quantum communication over linear repeater chains and more complex
quantum networks. Extending the framework of node splitting, we model the loss
introduced at the repeater stations and then prove the corresponding limits. In
the linear chain scenario we show that, by increasing the number of repeater
stations, the maximum rate cannot overcome a quantity which solely depends on
the loss of a single station. We introduce a way of adapting the standard
machinery for obtaining bounds to this realistic scenario. The difference is
that whilst ultimate limits for any strategy can be derived given a fixed
channel, when the repeaters introduce additional decoherence, then the
effective overall channel is itself a function of the chosen repeater strategy
(e.g., one-way versus two-way classical communication). Classes of repeater
strategies can be analysed using additional modelling and the subsequent bounds
can be interpreted as the optimal rate within that class.","Riccardo Laurenza, Nathan Walk, Jens Eisert, Stefano Pirandola",arXiv,quant-ph
Real-time quantum error correction beyond break-even,https://arxiv.org/abs/2211.09116,Quantum Error Correction,Real-time quantum error correction beyond break-even,"The ambition of harnessing the quantum for computation is at odds with the
fundamental phenomenon of decoherence. The purpose of quantum error correction
(QEC) is to counteract the natural tendency of a complex system to decohere.
This cooperative process, which requires participation of multiple quantum and
classical components, creates a special type of dissipation that removes the
entropy caused by the errors faster than the rate at which these errors corrupt
the stored quantum information. Previous experimental attempts to engineer such
a process faced an excessive generation of errors that overwhelmed the
error-correcting capability of the process itself. Whether it is practically
possible to utilize QEC for extending quantum coherence thus remains an open
question. We answer it by demonstrating a fully stabilized and error-corrected
logical qubit whose quantum coherence is significantly longer than that of all
the imperfect quantum components involved in the QEC process, beating the best
of them with a coherence gain of $G = 2.27 \pm 0.07$. We achieve this
performance by combining innovations in several domains including the
fabrication of superconducting quantum circuits and model-free reinforcement
learning.","V. V. Sivak, A. Eickbusch, B. Royer, S. Singh, I. Tsioutsios, S. Ganjam, A. Miano, B. L. Brock, A. Z. Ding, L. Frunzio, S. M. Girvin, R. J. Schoelkopf, M. H. Devoret",arXiv,quant-ph
"Realization of Real-Time Fault-Tolerant Quantum Error Correction - C. Ryan-Anderson, J. G. Bohnet, K. Lee, D. Gresh, A. Hankin, J. P. Gaebler, Francois, A. Chernoguzov, ...",https://journals.aps.org/prx/abstract/10.1103/PhysRevX.11.041058,,Realization of Real-Time Fault-Tolerant Quantum Error Correction,Unknown,"C. Ryan-Anderson, J. G. Bohnet, K. Lee, D. Gresh, A. Hankin, J. P. Gaebler, D. Francois, A. Chernoguzov, D. Lucchetti, N. C. Brown, T. M. Gatterman, S. K. Halit, K. Gilmore, J. A. Gerber, B. Neyenhuis, D. Hayes, R. P. Stutz",Physical Review X,
Rearrangement of single atoms in a 2000-site optical tweezers array at cryogenic temperatures,https://arxiv.org/pdf/2405.19503,,"Rearrangement of single atoms in a 2000-site optical tweezers array at
  cryogenic temperatures","We report on the trapping of single rubidium atoms in large arrays of optical
tweezers comprising up to 2088 sites in a cryogenic environment at 6 K. Our
approach relies on the use of microscope objectives that are in-vacuum but at
room temperature, in combination with windowless thermal shields into which the
objectives are protruding to ensure a cryogenic environment for the trapped
atoms. To achieve enough optical power for efficient trapping, we combine two
lasers at slightly different wavelengths. We discuss the performance and
limitations of our design. Finally, we demonstrate atom-by-atom rearrangement
of an 828-atom target array using moving optical tweezers controlled by a
field-programmable gate array.","Grégoire Pichard, Desiree Lim, Etienne Bloch, Julien Vaneecloo, Lilian Bourachot, Gert-Jan Both, Guillaume Mériaux, Sylvain Dutartre, Richard Hostein, Julien Paris, Bruno Ximenez, Adrien Signoles, Antoine Browaeys, Thierry Lahaye, Davide Dreon",arXiv,"physics.atom-ph, cond-mat.quant-gas, quant-ph"
Resource savings from fault-tolerant circuit design,https://arxiv.org/pdf/2311.02132.pdf,Quantum Error Correction,Resource savings from fault-tolerant circuit design,"Using fault-tolerant constructions, computations performed with unreliable
components can simulate their noiseless counterparts though the introduction of
a modest amount of redundancy. Given the modest overhead required to achieve
fault-tolerance, and the fact that increasing the reliability of basic
components often comes at a cost, are there situations where fault-tolerance
may be more economical? We present a general framework to account for this
overhead cost in order to effectively compare fault-tolerant to
non-fault-tolerant approaches for computation, in the limit of small logical
error rates. Using this detailed accounting, we determine explicit boundaries
at which fault-tolerant designs become more efficient than designs that achieve
comparable reliability through direct consumption of resources. We find that
the fault-tolerant construction is always preferred in the limit of high
reliability in cases where the resources required to construct a basic unit
grows faster than $\log(1 / \epsilon)$ asymptotically for small $\epsilon$.","Andrew K. Tan, Isaac L. Chuang",arXiv,"cs.CE, cs.IT, math.IT"
"Review of Distributed Quantum Computing. From single QPU to High Performance Quantum Computing - David Barral, et. al.",https://arxiv.org/abs/2404.01265,,"Review of Distributed Quantum Computing. From single QPU to High
  Performance Quantum Computing","The emerging field of quantum computing has shown it might change how we
process information by using the unique principles of quantum mechanics. As
researchers continue to push the boundaries of quantum technologies to
unprecedented levels, distributed quantum computing raises as an obvious path
to explore with the aim of boosting the computational power of current quantum
systems. This paper presents a comprehensive survey of the current state of the
art in the distributed quantum computing field, exploring its foundational
principles, landscape of achievements, challenges, and promising directions for
further research. From quantum communication protocols to entanglement-based
distributed algorithms, each aspect contributes to the mosaic of distributed
quantum computing, making it an attractive approach to address the limitations
of classical computing. Our objective is to provide an exhaustive overview for
experienced researchers and field newcomers.","David Barral, F. Javier Cardama, Guillermo Díaz, Daniel Faílde, Iago F. Llovo, Mariamo Mussa Juane, Jorge Vázquez-Pérez, Juan Villasuso, César Piñeiro, Natalia Costas, Juan C. Pichel, Tomás F. Pena, Andrés Gómez",arXiv,"quant-ph, cs.ET"
